2.81	0.8233	0.1154	-0.0999
2.82	0.8043	0.1144	-0.1061
2.83	0.7853	0.1132	-0.1122
2.84	0.7662	0.1121	-0.118
2.85	0.7471	0.1108	-0.1236
2.86	0.7279	0.1095	-0.1291
2.87	0.7087	0.1082	-0.1342
2.88	0.6894	0.1068	-0.1392
2.89	0.6701	0.1054	-0.144
2.9	0.5536	0.1039	-0.1485
2.91	0.5341	0.1023	-0.1552
2.92	0.5146	0.1007	-0.1637
2.93	0.4951	0.099	-0.1715
2.94	0.4755	0.0972	-0.1787
2.95	0.4559	0.0953	-0.1853
2.96	0.4363	0.0934	-0.1914
2.97	0.4166	0.0914	-0.1968
2.98	0.3969	0.0894	-0.2018
2.99	0.3771	0.0874	-0.2063
3	0.1511	0.0853	-0.2102
3.01	0.1313	0.0831	-0.2188
3.02	0.1115	0.0808	-0.2312
3.03	0.0916	0.0783	-0.2424
3.04	0.0717	0.0758	-0.2522
3.05	0.0518	0.0732	-0.2608
3.06	0.0319	0.0705	-0.2684
3.07	0.012	0.0678	-0.2749
3.08	-0.008	0.065	-0.2804
3.09	-0.028	0.0621	-0.285
3.1	-0.0196	0.0592	-0.2888
3.11	-0.0396	0.0563	-0.2911
